,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
0,6144.0,5489.0,679.0,1297.0,308.0,31.0,144.0,644.0,43.0,16.0,537.0,1465.0,0.236,0.309,0.382,0.692,87.0,2099.0,99.0,54.0,32.0,28.0,24.0,52,110,.321,5.11,162,162,159,3,3,22,1417.1,1480,893,804,232,555,45,1238,75,7,43,6270,83,4.88,1.436,9.4,1.5,3.5,7.9,2.23
1,6056.0,5363.0,790.0,1307.0,269.0,20.0,239.0,762.0,59.0,19.0,549.0,1453.0,0.244,0.319,0.435,0.754,98.0,2333.0,81.0,67.0,32.0,43.0,36.0,88,73,.547,3.88,161,161,159,2,2,40,1410.2,1237,656,608,183,516,34,1417,66,8,73,5944,112,4.09,1.243,7.9,1.2,3.3,9.0,2.75
2,5983.0,5420.0,659.0,1296.0,266.0,15.0,195.0,632.0,54.0,23.0,451.0,1454.0,0.239,0.304,0.402,0.705,92.0,2177.0,105.0,65.0,14.0,31.0,12.0,52,110,.321,5.84,162,162,161,1,1,26,1402.0,1518,956,910,258,563,12,1234,68,7,88,6252,77,5.15,1.484,9.7,1.7,3.6,7.9,2.19
3,6122.0,5495.0,829.0,1434.0,330.0,23.0,219.0,783.0,40.0,21.0,512.0,1386.0,0.261,0.328,0.449,0.777,106.0,2467.0,100.0,61.0,10.0,42.0,22.0,92,70,.568,4.26,162,162,162,0,0,49,1419.0,1409,749,671,176,546,31,1527,79,6,63,6147,110,3.95,1.378,8.9,1.1,3.5,9.7,2.80
4,5972.0,5306.0,705.0,1255.0,225.0,26.0,210.0,672.0,86.0,37.0,502.0,1596.0,0.237,0.312,0.407,0.719,93.0,2162.0,133.0,92.0,40.0,30.0,17.0,71,91,.438,4.87,162,162,161,1,0,40,1412.2,1386,839,765,235,596,25,1358,98,4,60,6202,87,4.88,1.403,8.8,1.5,3.8,8.7,2.28
5,6084.0,5357.0,796.0,1373.0,275.0,22.0,190.0,757.0,57.0,20.0,586.0,1389.0,0.256,0.336,0.422,0.758,106.0,2262.0,139.0,78.0,24.0,39.0,10.0,93,69,.574,3.73,162,162,158,4,3,43,1403.1,1205,636,581,182,485,16,1588,51,6,84,5861,118,3.74,1.204,7.7,1.2,3.1,10.2,3.27
6,6162.0,5423.0,786.0,1352.0,295.0,13.0,222.0,756.0,36.0,24.0,553.0,1425.0,0.249,0.328,0.431,0.759,95.0,2339.0,129.0,105.0,35.0,45.0,22.0,83,79,.512,4.40,162,162,161,1,1,41,1434.1,1330,760,702,206,617,30,1524,64,8,62,6199,107,4.34,1.357,8.3,1.3,3.9,9.6,2.47
7,5907.0,5332.0,717.0,1269.0,248.0,22.0,203.0,686.0,109.0,17.0,453.0,1387.0,0.238,0.303,0.407,0.71,94.0,2170.0,105.0,64.0,20.0,36.0,18.0,80,82,.494,4.34,162,162,162,0,0,39,1408.0,1281,727,679,216,522,12,1391,59,8,52,5968,99,4.43,1.281,8.2,1.4,3.3,8.9,2.66
8,6007.0,5374.0,739.0,1338.0,275.0,34.0,182.0,709.0,76.0,23.0,491.0,1356.0,0.249,0.317,0.414,0.731,86.0,2227.0,98.0,58.0,48.0,36.0,24.0,74,87,.460,4.82,161,161,158,3,1,33,1397.0,1397,796,748,196,539,19,1269,63,3,67,6044,100,4.47,1.386,9.0,1.3,3.5,8.2,2.35
9,5979.0,5376.0,697.0,1299.0,236.0,37.0,179.0,675.0,88.0,25.0,490.0,1514.0,0.242,0.308,0.399,0.707,96.0,2146.0,113.0,44.0,17.0,50.0,8.0,77,85,.475,4.32,162,162,160,2,1,42,1419.2,1370,756,681,199,571,10,1259,82,3,80,6164,99,4.60,1.367,8.7,1.3,3.6,8.0,2.20
10,6291.0,5593.0,863.0,1496.0,299.0,14.0,221.0,834.0,53.0,16.0,569.0,1222.0,0.267,0.339,0.444,0.783,113.0,2486.0,136.0,64.0,9.0,54.0,25.0,95,67,.586,3.78,162,162,160,2,0,34,1445.0,1231,658,607,187,549,12,1456,70,4,72,6060,114,4.12,1.232,7.7,1.2,3.4,9.1,2.65
11,5993.0,5427.0,686.0,1349.0,251.0,29.0,163.0,647.0,124.0,33.0,421.0,1258.0,0.249,0.306,0.396,0.702,90.0,2147.0,100.0,55.0,31.0,52.0,8.0,74,88,.457,4.64,162,162,161,1,0,37,1417.1,1375,788,731,189,591,16,1344,62,9,86,6127,99,4.39,1.387,8.7,1.2,3.8,8.5,2.27
12,6016.0,5437.0,723.0,1331.0,265.0,23.0,190.0,691.0,79.0,26.0,464.0,1394.0,0.245,0.31,0.407,0.717,93.0,2212.0,107.0,59.0,30.0,25.0,35.0,77,85,.475,4.69,162,162,161,1,0,39,1421.2,1373,804,741,188,592,18,1453,76,11,56,6196,96,4.25,1.382,8.7,1.2,3.7,9.2,2.45
13,6239.0,5445.0,830.0,1330.0,247.0,24.0,237.0,799.0,65.0,17.0,613.0,1408.0,0.244,0.33,0.429,0.759,101.0,2336.0,96.0,104.0,32.0,45.0,36.0,106,56,.654,3.01,162,162,161,1,0,56,1452.0,1107,561,486,161,486,43,1599,63,9,52,5948,140,3.54,1.097,6.9,1.0,3.0,9.9,3.29
