Home_Team,Away_Team,Result
26,2,1
1,32,0
3,4,1
5,9,1
8,27,0
10,29,1
12,6,1
14,7,0
18,16,0
20,31,1
21,28,1
22,13,1
23,30,0
24,15,0
11,25,0
17,19,0
7,3,1
2,5,1
4,18,0
9,24,1
10,17,1
12,21,0
15,22,1
19,1,1
23,8,1
25,20,0
27,16,0
28,11,1
30,26,1
31,13,1
32,14,0
6,29,1
8,25,1
1,6,0
2,23,0
3,10,1
5,7,1
11,22,1
13,24,0
15,31,0
16,28,1
19,18,1
20,17,1
21,4,0
26,14,1
29,9,1
32,12,1
30,27,0
19,21,1
1,29,0
2,7,0
6,30,1
9,11,1
12,4,1
14,13,0
15,25,1
18,28,1
22,20,1
24,23,0
17,8,1
27,3,0
31,26,1
10,16,0
22,14,1
4,31,1
5,24,1
7,20,1
8,3,1
11,12,1
13,9,1
16,15,1
18,17,1
25,10,1
26,21,0
27,2,1
28,1,0
29,19,0
23,32,1
24,26,0
2,30,1
7,27,0
8,18,0
9,15,1
10,19,0
13,4,1
20,6,1
21,1,1
22,16,0
25,14,1
17,29,0
31,3,0
32,5,1
12,28,1
1,10,0
3,23,0
6,22,0
14,4,1
15,13,0
16,7,1
18,31,1
20,11,0
25,21,0
26,5,0
28,19,0
30,8,1
32,9,1
2,24,1
13,20,1
1,28,1
5,3,1
6,25,1
7,30,1
11,29,0
15,26,0
16,10,1
19,12,1
21,23,0
24,32,0
17,14,0
27,8,1
4,22,0
28,17,1
3,27,0
4,6,0
5,30,1
8,16,0
10,13,0
20,25,1
21,11,1
22,12,1
23,19,1
29,18,0
32,2,0
9,31,0
27,5,1
6,11,1
7,23,0
8,2,1
12,20,1
14,15,1
16,1,1
19,29,1
25,4,0
17,18,0
26,9,0
30,32,0
31,22,1
28,24,0
29,12,1
1,17,0
2,9,0
3,7,1
6,21,1
11,5,1
14,31,1
15,27,0
18,10,0
23,26,1
24,30,1
32,13,0
19,16,0
9,32,1
11,6,0
23,2,1
3,17,1
4,15,1
5,29,0
7,8,0
10,27,1
14,20,1
18,1,1
21,12,1
25,22,0
26,24,1
30,28,1
13,31,1
9,23,1
2,3,0
7,10,0
11,19,0
12,1,0
13,8,1
15,14,1
20,4,1
22,21,1
24,6,1
17,16,0
27,18,0
29,28,1
30,5,1
31,25,1
26,32,1
31,15,1
1,11,0
4,25,0
6,19,1
8,5,1
9,26,1
12,2,1
13,14,0
16,3,1
18,7,1
20,22,1
17,27,1
28,10,1
30,23,0
32,24,0
29,21,1
16,18,1
10,8,0
25,13,0
2,1,1
3,30,1
4,11,1
6,12,1
7,17,1
14,9,1
15,32,0
19,26,0
21,20,1
24,31,0
27,22,1
28,29,1
5,23,0
18,3,0
31,32,1
1,19,0
5,2,0
8,7,1
9,30,1
11,21,0
14,24,1
20,15,0
22,4,1
23,27,1
25,12,0
26,13,1
28,6,0
29,16,0
17,10,1
3,8,1
4,20,1
10,18,0
12,11,0
13,15,1
16,17,1
19,28,1
21,6,0
22,25,1
23,5,0
24,9,0
27,7,1
29,1,1
30,2,0
31,14,0
32,26,0
9,29,1
13,14,0
3,18,0
6,26,0
16,14,1
19,9,1
22,18,1
23,26,1
16,22,1
23,19,0
19,22,0
6,12,0
1,11,0
5,19,0
8,31,0
9,24,1
15,16,0
18,14,1
20,3,0
21,2,1
22,27,1
25,4,0
26,32,1
29,7,1
30,28,0
23,13,1
17,10,1
5,30,0
2,26,1
3,1,1
7,28,0
10,6,0
11,18,1
12,21,1
13,15,1
19,23,1
20,22,0
24,4,0
17,16,0
27,29,0
31,14,0
32,9,0
25,8,0
15,31,1
1,5,0
4,7,1
8,19,0
9,20,1
12,10,1
14,2,1
16,3,1
18,13,0
21,17,1
22,25,1
26,11,0
28,27,1
29,23,0
30,24,0
32,6,0
12,26,0
1,29,0
2,31,0
3,8,0
4,22,0
6,21,1
10,15,0
11,16,0
13,5,0
14,17,0
19,30,0
20,18,0
23,9,1
24,32,1
27,7,1
29,19,1
5,15,1
7,1,0
9,12,0
13,2,1
16,14,1
18,10,0
23,30,1
24,21,0
17,6,1
26,25,1
27,3,0
31,4,0
32,22,0
28,8,1
22,24,1
1,2,1
3,7,1
8,29,0
10,31,1
15,23,0
16,13,1
18,27,0
19,28,0
20,32,0
21,26,1
25,9,1
30,5,0
12,11,1
10,16,0
2,19,0
4,20,1
6,23,0
7,15,0
9,26,1
11,21,0
12,17,1
14,13,1
24,1,0
29,3,0
31,18,1
32,28,0
25,22,0
21,32,1
2,29,0
4,26,0
6,18,0
11,24,1
13,17,1
14,10,1
15,25,1
16,12,1
19,7,1
22,8,1
23,1,1
28,5,1
31,30,1
27,20,1
1,28,0
3,22,1
4,32,1
5,31,1
10,8,1
15,13,0
16,21,1
18,12,1
20,25,1
17,11,1
26,6,1
27,14,1
29,30,1
24,9,0
17,18,1
6,11,1
7,3,0
8,4,1
9,21,0
12,5,1
14,20,0
23,2,0
25,24,1
27,19,1
30,1,1
31,16,0
28,29,0
8,27,1
3,13,1
5,2,0
11,9,0
14,15,1
19,6,1
20,4,0
21,10,1
17,7,1
26,22,0
28,1,1
30,23,0
32,25,0
18,16,0
13,14,1
2,30,0
4,10,1
6,24,1
7,27,0
8,20,1
22,9,1
23,5,1
25,17,1
26,29,0
28,12,1
31,15,1
32,11,1
19,3,0
2,23,0
9,4,0
11,6,0
1,19,0
3,28,1
5,32,0
7,25,1
10,18,1
13,22,1
14,31,0
15,30,0
16,17,1
20,26,1
24,12,0
27,8,1
29,21,1
6,9,1
1,27,0
2,5,1
4,3,0
8,7,1
12,32,1
13,10,0
15,18,0
19,29,1
21,11,1
22,16,0
23,28,0
25,20,1
17,31,0
30,14,1
26,24,1
3,25,1
1,8,1
5,29,0
7,22,0
9,19,1
11,30,0
12,6,1
16,10,1
18,21,0
24,20,1
17,15,0
27,4,0
