Home_Team,Away_Team,Result
1,23,1
1,23,0
1,23,0
1,23,0
1,11,0
1,11,1
1,18,0
1,18,1
1,18,0
1,30,0
1,30,0
1,30,1
1,30,1
1,18,0
1,18,1
1,18,0
1,14,0
1,14,1
1,14,1
1,26,0
1,26,1
1,26,1
1,26,0
1,15,1
1,15,1
1,15,1
1,9,1
1,9,0
1,9,1
1,15,1
1,15,1
1,15,0
1,5,1
1,5,0
1,5,0
1,14,0
1,14,0
1,14,0
1,14,0
1,5,1
1,5,1
1,5,1
1,5,0
1,12,1
1,12,1
1,14,0
1,14,0
1,14,0
1,14,0
1,2,1
1,2,1
1,2,0
1,22,1
1,22,0
1,22,0
1,7,0
1,7,0
1,7,1
1,7,1
1,21,0
1,21,0
1,21,1
1,7,0
1,7,0
1,7,1
1,17,1
1,17,0
1,17,1
1,23,0
1,23,0
1,23,0
1,10,0
1,10,0
1,10,1
1,23,1
1,23,0
1,9,1
1,9,0
1,9,0
1,24,1
1,24,1
1,24,0
1,9,0
1,9,0
1,9,1
1,9,0
1,24,1
1,24,0
1,24,0
1,23,0
1,23,0
1,23,1
1,30,1
1,30,1
1,30,0
1,24,1
1,24,1
1,24,1
1,2,0
1,2,0
1,2,0
1,8,0
1,8,1
1,8,0
1,9,1
1,9,0
1,9,1
1,22,1
1,22,1
1,22,0
1,22,1
1,9,0
1,9,1
1,9,1
1,24,0
1,24,0
1,24,1
1,24,1
1,26,0
1,26,0
1,26,0
1,12,1
1,12,0
1,6,1
1,6,1
1,6,1
1,21,1
1,21,1
1,21,0
1,16,1
1,16,1
1,16,0
1,16,1
1,23,1
1,23,0
1,23,0
1,9,0
1,9,0
1,9,1
1,14,0
1,14,0
1,14,1
1,23,1
1,23,0
1,23,0
1,23,0
1,14,0
1,14,0
1,14,1
1,14,1
1,14,0
1,24,0
1,24,1
1,24,0
1,11,0
1,11,1
1,24,0
1,24,1
1,24,0
1,16,0
1,16,0
1,16,1
2,7,0
2,7,1
2,7,1
2,7,0
2,30,0
2,30,1
2,30,0
2,23,0
2,23,1
2,23,1
2,23,0
2,14,0
2,14,1
2,14,0
2,15,1
2,15,0
2,15,0
2,5,1
2,5,0
2,5,1
2,28,1
2,28,0
2,28,0
2,18,1
2,18,0
2,18,0
2,18,1
2,16,0
2,16,1
2,16,1
2,4,0
2,4,1
2,23,0
2,23,1
2,23,0
2,16,0
2,16,1
2,16,0
2,15,1
2,15,1
2,15,0
2,21,0
2,21,1
2,21,1
2,21,0
2,15,1
2,15,0
2,15,1
2,1,0
2,1,0
2,1,1
2,9,1
2,9,1
2,9,1
2,9,1
2,20,1
2,20,1
2,22,1
2,22,1
2,22,1
2,22,1
2,30,1
2,30,1
2,30,1
2,5,0
2,5,0
2,5,1
2,24,1
2,24,0
2,24,1
2,24,1
2,14,0
2,14,1
2,14,0
2,21,1
2,21,1
2,21,0
2,7,1
2,7,1
2,7,0
2,26,1
2,26,1
2,26,1
2,26,0
2,30,1
2,30,1
2,30,1
2,18,0
2,18,1
2,18,0
2,30,1
2,30,1
2,30,1
2,30,0
2,13,1
2,13,1
2,13,0
2,21,0
2,21,1
2,21,0
2,1,1
2,1,1
2,1,1
2,21,1
2,21,0
2,18,0
2,18,1
2,18,0
2,18,0
2,18,0
2,4,1
2,4,1
2,15,1
2,15,1
2,15,1
2,15,1
2,18,1
2,18,1
2,18,0
2,18,1
2,11,1
2,11,1
2,11,0
2,22,1
2,22,1
2,22,1
2,26,1
2,26,0
2,26,0
2,9,0
2,9,1
2,9,1
2,15,1
2,15,1
2,15,1
2,20,1
2,20,1
2,25,1
2,25,0
2,25,0
2,24,0
2,24,1
2,24,0
2,21,1
2,21,1
2,21,1
2,30,1
2,30,1
2,30,0
2,21,0
2,21,0
2,21,1
2,21,1
2,30,1
2,30,1
2,30,0
2,18,1
2,18,1
2,18,1
2,15,0
2,15,1
2,15,0
3,27,0
3,27,0
3,27,0
3,16,1
3,16,0
3,16,0
3,19,1
3,19,0
3,19,1
3,20,0
3,20,0
3,20,1
3,20,0
3,13,1
3,13,1
3,13,0
3,19,0
3,19,0
3,19,0
3,4,0
3,4,1
3,4,1
3,17,0
3,17,0
3,17,1
3,17,1
3,12,0
3,12,1
3,12,1
3,26,1
3,26,0
3,26,1
3,10,0
3,10,0
